Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Ireland,IRL,Forest area (% of land area),AG.LND.FRST.ZS,6.701117724,6.946029903,9.150239512,9.280911598,9.411583684,9.54225577,9.672927856,9.803599942,9.934272028,10.06494411,10.1956162,11.17752939,11.23559297,11.29365655,11.35172013,11.40978371,11.46784729,11.52591087,..,..
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.466527764,1.929640174,9.403524764,5.305821335,5.899365061,3.013838694,6.788139906,5.739782026,4.987853645,5.310118309,-4.48407081,10.10885761,7.688659374,4.972880038,7.153695057,16.25818812,7.511138884,-2.536374093,2.599467216,..
"Iran, Islamic Rep.",IRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,90.9,92,92.8,93.7,94.55,95.1,95.6,96,96.4,96.9,96.8,96.5,96.4,96.2,95.9,95.7,..,..
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,97.9,98.1,98.1,98.2,98.3,98.4,98.4,98.7,98.8,99.9,100,100,100,100,100,100,..,..
"Iran, Islamic Rep.",IRN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,93.9819167,..,..,..,89.98467083,..,..,91.06100446,..
"Iran, Islamic Rep.",IRN,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,91.44414,..,86.16734,..,97.12907,96.04654,97.76144,95.32962,95.87482,95.22357,..,99.77089,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,10.68354353,..,1.123794808,14.20682356,19.41924111,8.951222147,3.481120312,8.506050751,4.638186543,15.27848565,-0.757623168,2.728546497,-29.62784881,-6.037417299,6.752732767,14.60377658,..,..,..,..
"Iran, Islamic Rep.",IRN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-1.690763982,..,10.53975418,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,8.28194046,..,..,7.014389992,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.712,76.581,36.904,36.015,35.14,34.479,33.564,33.292,33.521,33.651,33.781,35.132,32.963,29.369,26.989,26.445,26.291,26.204,..,..
"Iran, Islamic Rep.",IRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.75878582,38.67788993,38.608512,39.18502419,39.32071023,39.45639628,39.59208232,29.24371915,29.37940519,29.51509124,28.66290921,28.61941448,28.91525424,28.96024653,28.98489985,29.00893683,29.00893683,29.00893683,..,..
"Iran, Islamic Rep.",IRN,Agricultural land (sq. km),AG.LND.AGRI.K2,615000,629970,628840,638230,640440,642650,644860,476310,478520,480730,466850,464350,469150,469880,470280,470670,470670,470670,..,..
"Iran, Islamic Rep.",IRN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.75,0.79,0.26,0.33,0.51,0.67,0.59,0.81,0.88,0.82,0.22,1.29,1.34,1.64,1.21,0.78,1.14,..,..,..
"Iran, Islamic Rep.",IRN,"Air transport, passengers carried",IS.AIR.PSGR,5632600,5537500,8722145,16485326,9891522,16301238,11877705,12708354,13623038,13915755,12029236,26858178.78,23029380,21641449.39,12744853.78,13695897.02,18713104,18067403,..,..
"Iran, Islamic Rep.",IRN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.860115334,2.953137893,3.866124677,2.709457344,2.64412737,2.631000462,1.981306374,2.394448122,2.356144396,2.251572742,2.321426628,1.966873999,2.23616142,2.228985383,2.35031155,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,..,..,12228,0,5,0,48,138,1017,1184,1705,84,33,33,34,34,34,0,0,..
"Iran, Islamic Rep.",IRN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,..,..,..
"Iran, Islamic Rep.",IRN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Battle-related deaths (number of people),VC.BTL.DETH,31,44,40,112,..,..,..,28,52,86,117,27,60,31,212,27,..,34,123,..
"Iran, Islamic Rep.",IRN,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.466,31.184,15.966,15.935,15.947,15.878,16.176,16.385,16.725,16.971,17.095,18.045,16.664,14.918,14.008,13.687,13.314,12.951,..,..
"Iran, Islamic Rep.",IRN,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,10.43377404,69.77564206,76.59866967,84.35072999,94.55382878,108.645837,124.9622856,142.7383824,158.319059,166.2956548,219.6455784,217.2803537,241.8063278,252.9781763,276.1913784,279.9301019,291.477823,297.6448004,..
